year,bagalkot,bangalore rural,bangalore urban,belagavi,bellary,vijayanagara,bidar,vijayapur,chamrajnagar,chikkaballapura,chikmagalur,chitradurga,dakshina kannada,davanagere,dharwad,gadag,kalaburgi,hassan,haveri,kodagu,kolar,koppal,mandya,mysore,raichur,ramanagara,shimoga,tumkur
2010,650,850,900,750,550,600,700,650,950,800,1200,700,3500,750,800,600,650,1000,850,2500,750,600,750,900,550,800,1100,750
2011,680,880,930,780,580,630,730,680,980,830,1250,730,3700,780,830,630,680,1030,880,2600,780,630,780,930,580,830,1150,780
2012,710,910,960,810,610,660,760,710,1010,860,1300,760,3900,810,860,660,710,1060,910,2700,810,660,810,960,610,860,1200,810
2013,740,940,990,840,640,690,790,740,1040,890,1350,790,4100,840,890,690,740,1090,940,2800,840,690,840,990,640,890,1250,840
2014,770,970,1020,870,670,720,820,770,1070,920,1400,820,4300,870,920,720,770,1120,970,2900,870,720,870,1020,670,920,1300,870
2015,800,1000,1050,900,700,750,850,800,1100,950,1450,850,4500,900,950,750,800,1150,1000,3000,900,750,900,1050,700,950,1350,900
2016,750,950,1000,850,650,700,800,750,1050,900,1400,800,4200,850,900,700,750,1100,950,2900,850,700,850,1000,650,900,1300,850
2017,720,920,970,820,620,670,770,720,1020,870,1350,770,4000,820,870,670,720,1070,920,2800,820,670,820,970,620,870,1250,820
2018,780,980,1030,880,680,730,830,780,1080,930,1450,830,4400,880,930,730,780,1130,980,3100,880,730,880,1030,680,930,1400,880
2019,810,1010,1060,910,710,760,860,810,1110,960,1500,860,4600,910,960,760,810,1160,1010,3200,910,760,910,1060,710,960,1450,910
2020,790,990,1040,890,690,740,840,790,1090,940,1470,840,4500,890,940,740,790,1140,990,3150,890,740,890,1040,690,940,1420,890
2021,760,960,1010,860,660,710,810,760,1060,910,1420,810,4300,860,910,710,760,1110,960,3050,860,710,860,1010,660,910,1380,860
2022,730,930,980,830,630,680,780,730,1030,880,1370,780,4100,830,880,680,730,1080,930,2950,830,680,830,980,630,880,1320,830
2023,750,950,1000,850,650,700,800,750,1050,900,1400,800,4200,850,900,700,750,1100,950,3000,850,700,850,1000,650,900,1350,850
2024,770,970,1020,870,670,720,820,770,1070,920,1430,820,4400,870,920,720,770,1120,970,3100,870,720,870,1020,670,920,1400,870
