year,bagalkot,bangalore rural,bangalore urban,belagavi,bellary,vijayanagara,bidar,vijayapur,chamrajnagar,chikkaballapura,chikmagalur,chitradurga,dakshina kannada,davanagere,dharwad,gadag,kalaburgi,hassan,haveri,kodagu,kolar,koppal,mandya,mysore,raichur,ramanagara,shimoga,tumkur
2010,25,15,10,20,35,30,25,40,5,15,0,25,0,20,15,30,40,10,15,0,20,35,15,10,45,15,5,20
2011,22,12,8,18,32,28,22,38,4,12,0,22,2,18,12,28,38,8,12,2,18,32,12,8,42,12,4,18
2012,40,20,15,35,50,45,40,60,10,25,5,35,0,30,25,45,60,15,25,0,30,50,25,15,65,25,10,30
2013,18,10,5,15,28,25,18,35,3,10,0,18,0,15,10,25,35,5,10,0,15,28,10,5,38,10,3,15
2014,15,8,3,12,25,22,15,30,2,8,0,15,1,12,8,22,30,3,8,5,12,25,8,3,32,8,2,12
2015,12,5,0,10,22,20,12,25,0,5,0,12,0,10,5,20,25,0,5,0,10,22,5,0,28,5,0,10
2016,35,18,12,30,45,40,35,55,8,20,3,30,2,25,20,40,55,12,20,0,25,45,20,12,58,20,8,25
2017,28,15,10,25,38,35,28,48,6,15,0,25,0,22,15,35,48,10,15,3,22,38,15,10,50,15,6,22
2018,20,12,8,18,32,30,20,42,5,12,0,20,1,18,12,30,42,8,12,0,18,32,12,8,45,12,5,18
2019,45,25,20,40,55,50,45,65,15,30,10,40,0,35,30,50,65,20,30,0,35,55,30,20,70,30,15,35
2020,38,22,18,35,48,45,38,58,12,25,8,35,0,30,25,45,58,18,25,0,30,48,25,18,62,25,12,30
2021,30,18,15,28,42,40,30,52,10,20,5,28,1,25,20,40,52,15,20,3,25,42,20,15,55,20,10,25
2022,25,15,12,22,38,35,25,48,8,18,3,22,0,20,18,35,48,12,18,0,20,38,18,12,50,18,8,20
2023,22,12,10,20,35,30,22,42,6,15,0,20,3,18,15,30,42,10,15,0,18,35,15,10,45,15,6,18s
2024,18,10,8,15,30,28,18,38,5,12,0,15,0,15,12,28,38,8,12,1,15,30,12,8,40,12,5,15
